1170.33,1190.8,1159.79,1167.54,1167.54,254827008
1167.3,1188,1164.96,1172.52,1172.52,203559008
1172.61,1187.22,1172.61,1182.94,1182.94,183231008
1183.25,1194.9,1172.65,1193.91,1193.91,253206000
1193.77,1217.57,1193.77,1211.67,1211.67,270524000
1212.13,1215.51,1205.08,1210.29,1210.29,288060992
1211.08,1240.79,1208.41,1229.08,1229.08,315108000
1229.42,1235.94,1215.56,1222.05,1222.05,272167008
1222.71,1235.56,1208.47,1231.71,1231.71,249320000
1231.92,1232.2,1203.94,1207.21,1207.21,258951008
1209.63,1250.94,1209.63,1250.15,1250.15,235806000
1250.45,1267.58,1249.97,1265.49,1265.49,242556000
1265.99,1294.83,1265.93,1281.08,1281.08,329631008
1281.88,1319.7,1281.3,1317.73,1317.73,449196992
1317.74,1331.28,1292.37,1316.48,1316.48,527488992
1317.84,1327.2,1315.21,1321.79,1321.79,422705984
1321.87,1347.91,1314.92,1347.89,1347.89,413115008
1348.3,1434.32,1348.3,1421.6,1421.6,713624000
1421.03,1473.9,1415.69,1452.82,1452.82,477337984
1453.78,1492.77,1447.49,1490.09,1490.09,583795968
1490.72,1608.91,1490.72,1537.67,1537.67,933548992
1540.87,1618.03,1530.31,1555.45,1555.45,946035968
1556.81,1578.8,1542.5,1578.8,1578.8,582529984
1579.47,1596.72,1559.76,1596.71,1596.71,1080029952
1596.92,1723.35,1596.92,1723.35,1723.35,1340320000
1723.89,1833.49,1716.3,1755.36,1755.36,1167920000
1756.52,1788.44,1719.1,1787.13,1787.13,915723008
1780.37,1873.93,1755.35,1848.57,1848.57,799489984
1845.76,1856.15,1694.01,1724.24,1724.24,740984000
1723.12,1812.99,1651.08,1804.91,1804.91,579635008
1800.86,1831.42,1776.62,1808.91,1808.91,437196000
1808.44,1812.8,1708.54,1738.43,1738.43,731529024
1741.7,1785.94,1686.54,1734.45,1734.45,959044992
1726.73,1864.05,1661.91,1839.09,1839.09,1064729984
1818.7,1904.48,1807.12,1888.65,1888.65,894321024
1897.37,2004.52,1890.25,1987.71,1987.71,1157289984
1984.24,2084.73,1974.92,2084.73,2084.73,961336000
2067.03,2119.08,2037.5,2041.2,2041.2,1147859968
2043.19,2303.9,2017.87,2173.4,2173.4,1942220032
2191.56,2320.82,2178.5,2320.42,2320.42,1378749952
2321.37,2523.72,2321.37,2443.64,2443.64,1725379968
2446.24,2763.71,2285.3,2304.98,2304.98,2406700032
2320.89,2573.79,2071.99,2202.42,2202.42,1763480064
2196.27,2260.2,1855.83,2038.87,2038.87,1700480000
2054.08,2267.34,2054.08,2155.8,2155.8,1147139968
2159.43,2307.05,2107.17,2255.61,2255.61,994625024
2255.36,2301.96,2124.57,2175.47,2175.47,1443970048
2187.19,2311.08,2145.57,2286.41,2286.41,1544829952
2288.33,2448.39,2288.33,2407.88,2407.88,1653180032
2404.03,2488.55,2373.32,2488.55,2488.55,1317030016
2493.72,2581.91,2423.57,2515.35,2515.35,1514950016
2547.79,2585.89,2452.54,2511.81,2511.81,1355120000
2512.4,2686.81,2510.22,2686.81,2686.81,1369309952
2690.84,2999.91,2690.84,2863.2,2863.2,2089609984
2869.38,2869.38,2700.56,2732.16,2732.16,1517709952
2720.49,2815.3,2670.95,2805.62,2805.62,1281170048
2807.44,2901.71,2795.62,2823.81,2823.81,1348950016
2828.14,2950.99,2746.55,2947.71,2947.71,2018889984
2942.41,2996.6,2840.53,2958.11,2958.11,1752400000
2953.22,2997.26,2518.56,2659.63,2659.63,2569530112
2680.91,2789.04,2650.38,2717.02,2717.02,1781200000
2716.88,2786.83,2412.94,2506.37,2506.37,1696560000
2499.58,2534.71,2212.96,2464.58,2464.58,2026259968
2469.57,2539.92,2385.15,2518.56,2518.56,1195190016
2514.01,2685.19,2484.96,2655.88,2655.88,1534509952
2655.35,2662.1,2516.33,2548.29,2548.29,1178659968
2549.03,2662.85,2549.03,2589.6,2589.6,1446840064
2591.26,2763.45,2589.82,2721.79,2721.79,1854189952
2709.43,2772.01,2660.4,2689.1,2689.1,1626579968
2691.03,2723.74,2642.36,2705.41,2705.41,1097939968
2707.34,2765.17,2706.37,2744.91,2744.91,961318976
2738.52,2757.94,2583.19,2608.72,2608.72,982750016
2607.25,2682.26,2552.12,2589.41,2589.41,1161100032
2590.57,2615.25,2376.29,2478.45,2478.45,1663280000
2478.45,2552.45,2332.99,2552.45,2552.45,1489789952
2553.03,2603.98,2484.42,2574.79,2574.79,1183869952
2567.56,2588.83,2510.48,2539.32,2539.32,949979008
2539.24,2559.25,2478.43,2480.84,2480.84,860273024
2492.6,2515.27,2419.23,2434.55,2434.55,779913984
2436.4,2514.28,2394.84,2506.47,2506.47,803747008
2498.56,2595,2480.47,2564.06,2564.06,964112000
2561,2631.59,2559.35,2601.64,2601.64,985516032
2602.87,2622.65,2538.55,2601.99,2601.99,941566016
2608.1,2616.72,2581.69,2608.56,2608.56,761956992
2608.59,2916.14,2498.87,2518.66,2518.66,917411968
2520.27,2571.34,2492.31,2571.34,2571.34,733329984
2572.61,2635.49,2517.59,2518.44,2518.44,527856000
2525.25,2537.16,2321.13,2372.56,2372.56,1111200000
2385.89,2413.47,2296.81,2337.79,2337.79,1329760000
2332.77,2423.71,2275.14,2398.84,2398.84,1117410048
2402.7,2425.22,2340.83,2357.9,2357.9,835769984
2360.59,2363.25,2183.22,2233.34,2233.34,882502976
2230.12,2231.14,1990.41,1998.86,1998.86,993608000
1991.98,2058.77,1843.03,1929.82,1929.82,1182870016
1932.62,2230.49,1932.62,2228.41,2228.41,1201760000
2233.52,2387.61,2164.77,2318.88,2318.88,1512450048
2323.08,2397.17,2260.23,2273.43,2273.43,1245100032
2269.89,2900.7,2269.89,2817.6,2817.6,2249260032
2838.41,2838.41,2621.85,2667.76,2667.76,1489449984
2668.63,2862.42,2657.71,2810.12,2810.12,1177129984
2808.1,2832.18,2653.94,2730.4,2730.4,1072840000
2732.7,2777.26,2699.19,2754.86,2754.86,866473984
2757.5,2768.08,2480.96,2576.48,2576.48,1460089984
2577.77,2610.76,2450.8,2529.45,2529.45,937404032
2538.71,2693.32,2529.34,2671.78,2671.78,789104000
2679.73,2897.45,2679.73,2809.01,2809.01,1380099968
2807.02,2808.76,2692.8,2726.45,2726.45,803745984
2724.39,2758.53,2644.85,2757.18,2757.18,705942976
2763.24,2889.62,2720.61,2875.34,2875.34,860574976
2871.3,2921.35,2685.61,2718.26,2718.26,1324669952
2727.13,2762.53,2668.59,2710.67,2710.67,1094950016
2709.56,2813.31,2685.14,2804.73,2804.73,804796992
2806.93,2899.33,2743.72,2895.89,2895.89,1002120000
2897.63,3290.01,2874.83,3252.91,3252.91,1945699968
3257.61,3293.29,3155.6,3213.94,3213.94,1105030016
3212.78,3397.68,3180.89,3378.94,3378.94,1482279936
3370.22,3484.85,3345.83,3419.94,3419.94,1752760064
3420.4,3422.76,3247.67,3342.47,3342.47,1468960000
